"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 28 10:14:40 GMT 2023","Tue Nov 28 10:14:55 GMT 2023","14693","","IOS Web Browser Access","","","","Working with dynamic webview",""
"passed","Sun Nov 26 13:52:45 GMT 2023","Sun Nov 26 13:52:49 GMT 2023","3861","","Todo List","","","","Create a Todo List",""
